Наименование	Штрихкод
Катетер Фолея 2х хрдовой СН14 * №1 РОССИЯ		
Катетер Фолея 2х хрдовой СН16 * №1 РОССИЯ		
Катетер Фолея 2х хрдовой СН18 * №1 РОССИЯ		
Катетер Фридмана с транспортным катетером для сложного переноса эмбрионов(ТДТ набор)		
Квамател 20мг флакон с растворителем №5 (п/язв) (ст) НеуказанаСтрана		
Кеналог 40 мг/1мл  №5., ампула * №5 НеуказанаСтрана		
Кетгут ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
Кетгут простой USP 4/0 (2) 75см игла реж HS-20 1/2 окружн * №1 НеуказанаСтрана		
Кетонал 100мг п/о таблетки №20 (п/восп) (G1) НеуказанаСтрана		
Кетонал р-р для в/м и в/в 50мг./1мл. амп 2 мл.№10, штука		
Кетонал супп.рект.100 мг № 12 НеуказанаСтрана		
Кеторолак 10мг таблетка №20 НеуказанаСтрана		
Клафоран фл 1г (цефотаксим) (а/б)		
Клацид 500мг таблетка №7 (а/б) (ст) НеуказанаСтрана		
Клексан р-р д/ин, 20мг/0,2мл №10,шприц, штука * №10 НеуказанаСтрана		
Клексан р-р д/ин, 40мг/0,4мл №10,шприц, штука НеуказанаСтрана		
Клип-аппликатор эндоскоп-кийТУ 9435-004-89134710-2014, 92117,шир.раскр-я клипс11мм, ЭндоСтарс(10.01) * №1 НеуказанаСтрана		
Клипсы, штука НеуказанаСтрана		
Клопидогрел-Рихтер 75 мг №28, таблетка НеуказанаСтрана		
Ко-перинева 1,25мг.+4мг № 30, таблетка * №30 НеуказанаСтрана		
Ко-Эксфорж 10мг+160мг+12,5 таблетка №28 (ст) НеуказанаСтрана		
Коделак нео, табл. 50 мг №10 НеуказанаСтрана		
Колпачок-насадка дистальный для колоноскопии FM-EC0001, штука НеуказанаСтрана		
Комбилипен, комплексный поливитаминный препарат, раствор в/м введения 2мл №10, ампула		
Комбинезон защитный н/стер спанбонд		
Комплект акушерский д/рожениц Гекса,шт		
Комплект белья д/лапвроскопии 554л * №1 РОССИЯ		
Комплект белья стерильный для малых операций КБ-03-203(М3) * №1 НеуказанаСтрана		
Комплект белья стерильный для ограничения операционного поля  ГЕКСА-2 НеуказанаСтрана		
Комплект белья стерильный для операций на конечности большой  КБ-05-106(М2) НеуказанаСтрана		
Комплект белья стерильный хирургический для ЛОР-операций 1175 Э		
Комплект магистралей к плазмофильтру для проведения безаппаратного плазмафереза, одноразовый, стерил НеуказанаСтрана		
Комплект шин транспортных иммобилизационных складн. д/взр и дет КШТИ-01-Медплант (большой) НеуказанаСтрана		
Комплект шин транспортных иммобилизационных складн. д/взр КШТИв-01-Медплант (средний)		
Конвалис 300мг капсула №50 (п/эпилепт) (ст) НеуказанаСтрана		
Конкор 10мг. №30, таблетка НеуказанаСтрана		
Конкор Кор таб. 2,5мг №30 * №30		
Контейнер для сбора биоматериала 120мл., штука НеуказанаСтрана		
Контейнеры для кала,мочи и др. БИО жидкостей НеуказанаСтрана		
Контур дыхательный гладкоствольный с 2 мя влагосборниками, ВСЕ РАЗМЕРЫ взрослый,  штука НеуказанаСтрана		
Контур дыхательный гладкоствольный с эласт. соедин. стерильный, ВСЕ РАЗМЕРЫ  детский штука НеуказанаСтрана		
Кораксан (Конкор) 5мг-7,5мг таблетка №56 (бета/адр/блок кардио) (ст) НеуказанаСтрана		
Корвалол  50мл капли д/приема внутрь, флакон НеуказанаСтрана		
Корвалол Фито, 50 мл НеуказанаСтрана		
Кордиамин 25%  1мл №10, ампула НеуказанаСтрана		
Кордиамин 25%  2мл №10, ампула НеуказанаСтрана		
Короб для хранения (СМП)		
Корректор осанки с 2-мя металлическими ребрами  M, XL TLSO-251 НеуказанаСтрана		
Корректор осанки с 2-мя ребрами  взрослый Длинный р. S, L tlso-251(f) НеуказанаСтрана		
Корсет пояснично-крестцовый с мет.ребрами/пластинами   L, M, XXL, ХХХL (REHARD) LSS 114 НеуказанаСтрана		
Кортексин лиофилизат для приготовления р-ра для вн/м введения 10 мг. №10., флакон		
Костыли инвалидные регулируемые ВРС, FS, Armed (пара) р. S, M, L FS 925 НеуказанаСтрана		
Костыль с опорой под локоть TN-221 НеуказанаСтрана		
